sample_id,scenario,turn_type,input,coverage_note,run_mode,llm_model,expects_primary_source,expected_sec_fetch,sec_mode,expected_first_action,actual_first_action,first_action_correct,actual_sec_fetch,has_successful_primary_source,reused_evidence_without_reanalysis,route_evidence_outcome,route_correct,evidence_sufficient,route_score,quality_score,evidence_score,followup_alignment_score,total_score,critic_status,expected_user_followup,predicted_user_followup,followup_prediction_correct,latency_ms,token_total,tool_calls,trace_path,score_reason
E05,earnings_guidance,fresh,财报发布后需要更新哪些盈利能力风险？,低新闻量,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,collect_news,False,True,True,False,route_incorrect_evidence_sufficient,False,True,75,69,55,100,78.8,pass,accept,accept,True,19948.88,9538,7,traces/run_20260826_161450_57369929.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
E06,earnings_guidance,fresh,财报和指引有没有改变持仓判断？,一手来源补检索失败,llm_fixture,deepseek-v4-flash,True,True,fail,fetch_sec_filings,collect_news,False,True,False,False,route_incorrect_evidence_insufficient,False,False,75,46,5,100,59,needs_more_evidence,ask_for_evidence,ask_for_evidence,True,20140.85,10616,7,traces/run_20260826_161510_258f45bc.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但本回合结束时仍无可用来源
L01,regulation_legal,fresh,最近的监管和诉讼风险是否需要升级关注？,监管 + 诉讼,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,collect_news,False,True,True,False,route_incorrect_evidence_sufficient,False,True,75,69,55,100,78.8,needs_more_evidence,accept,accept,True,23925.21,11063,7,traces/run_20260826_161530_cc7150a6.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
L02,regulation_legal,fresh,反垄断调查对原有 thesis 的影响要怎么复盘？,监管同义表达,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,collect_news,False,True,True,False,route_incorrect_evidence_sufficient,False,True,75,69,55,0,53.9,needs_more_evidence,accept,ask_for_evidence,False,26827.28,12652,7,traces/run_20260826_161554_9ea67b4e.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
L03,regulation_legal,fresh,公司公告或 filing 中是否出现需追踪的合规事项？,filing 英文触发词,llm_fixture,deepseek-v4-flash,True,True,success,fetch_sec_filings,fetch_sec_filings,True,True,True,False,route_correct_evidence_sufficient,True,True,100,80,55,100,92.0,pass,accept,accept,True,23991.64,11046,7,traces/run_20260826_161621_01d48590.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L04,regulation_legal,fresh,调查事件是否属于重大监管风险？,监管问题且 SEC 失败,llm_fixture,deepseek-v4-flash,True,True,fail,fetch_sec_filings,collect_news,False,True,False,False,route_incorrect_evidence_insufficient,False,False,75,46,5,100,59,needs_more_evidence,ask_for_evidence,ask_for_evidence,True,23683.51,9996,7,traces/run_20260826_161645_11a5dd07.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但本回合结束时仍无可用来源
C01,catalyst_competition,fresh,扫描近期增长催化和竞争压力,正面与竞争并存,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,68,30,100,59,pass,accept,accept,True,20750.38,10041,7,traces/run_20260826_161708_752af4ba.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：新闻来自离线 fixture，不能作为实时研究结论
C02,catalyst_competition,fresh,需求和市场份额新闻有没有改变产品增长叙事？,需求/竞争,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,100,59,pass,accept,accept,True,22285.45,10152,7,traces/run_20260826_161729_28fb6474.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
C03,catalyst_competition,fresh,找近期的正面催化，但不要给买卖建议,合规表达约束,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,100,59,pass,accept,accept,True,20054.85,9664,7,traces/run_20260826_161751_cd2aabe7.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论
C04,catalyst_competition,fresh,竞争对手和宏观压力哪个更值得跟踪？,优先级比较,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,0,53.0,needs_more_evidence,accept,ask_for_evidence,False,23655.38,9647,7,traces/run_20260826_161812_d3bffe15.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 accept
A01,ambiguous_low_context,fresh,帮我看看,极模糊指令 + 少量证据,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,0,53.0,pass,retry,accept,False,20737.43,9062,7,traces/run_20260826_161835_d854c422.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 accept，人工标注为 retry
A02,ambiguous_low_context,fresh,这个波动要紧吗？,指代不清,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,0,53.0,pass,retry,accept,False,22979.01,9490,7,traces/run_20260826_161856_b3d144b6.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 accept，人工标注为 retry
A03,ambiguous_low_context,fresh,有风险吗，快一点,短指令 + 低证据量,llm_fixture,deepseek-v4-flash,False,False,not_applicable,collect_news,collect_news,True,True,False,False,route_incorrect_evidence_insufficient,False,False,85,58,30,0,53.0,needs_more_evidence,retry,ask_for_evidence,False,20379.77,8941,7,traces/run_20260826_161919_adb0edaf.jsonl,路径：已有证据或一般问题却发生了非必要 SEC 检索。产物：缺少投资建议免责声明；新闻来自离线 fixture，不能作为实时研究结论；Critic 预测 ask_for_evidence，人工标注为 retry
A04,ambiguous_low_context,fresh,公司监管风险怎么样？,模糊监管问题 + 一手来源失败,llm_fixture,deepseek-v4-flash,True,True,fail,fetch_sec_filings,collect_news,False,True,False,False,route_incorrect_evidence_insufficient,False,False,75,64,20,100,59,needs_more_evidence,ask_for_evidence,ask_for_evidence,True,1816.59,0,7,traces/run_20260826_163216_e0c483a4.jsonl,路径：首个工作流动作应为 fetch_sec_filings，实际为 collect_news。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但本回合结束时仍无可用来源
M01,followup_memory,follow_up,详细说说那个监管风险,追问指代 + 缺失一手来源，仅补 SEC,llm_fixture,deepseek-v4-flash,True,True,success,self_check,self_check,True,True,True,True,route_correct_evidence_sufficient,True,True,100,96,90,100,98.4,pass,accept,accept,True,1176.49,0,5,traces/run_20260826_163219_f40c996a.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
M02,followup_memory,follow_up,把上面的主要风险按优先级再解释一下,追问已有证据，不应重新检索,llm_fixture,deepseek-v4-flash,False,False,not_applicable,self_check,self_check,True,False,False,True,route_correct_evidence_sufficient,True,True,100,84,65,100,93.6,pass,accept,accept,True,1403.57,0,4,traces/run_20260826_163222_f4717624.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
M03,followup_memory,follow_up,详细说说那个监管风险,追问复用上一轮已取得的 SEC 证据,llm_fixture,deepseek-v4-flash,True,False,success,self_check,self_check,True,False,True,True,route_correct_evidence_sufficient,True,True,100,96,90,100,98.4,pass,accept,accept,True,1274.05,0,4,traces/run_20260826_163225_5ad399d5.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
M04,followup_memory,follow_up,详细说说那个监管风险,追问补 SEC 失败，应保留证据缺口,llm_fixture,deepseek-v4-flash,True,True,fail,self_check,self_check,True,True,False,True,route_correct_evidence_insufficient,True,False,100,73,40,100,59,needs_more_evidence,ask_for_evidence,ask_for_evidence,True,1403.75,0,3,traces/run_20260826_163227_9323199c.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但本回合结束时仍无可用来源
