sample_id,scenario,input,coverage_note,run_mode,expected_primary_source,actual_tools,route_score,quality_score,evidence_score,satisfaction_score,total_score,critic_status,predicted_user_followup,latency_ms,token_total,tool_calls,trace_path,score_reason
E05,earnings_guidance,财报发布后需要更新哪些盈利能力风险？,低新闻量,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,91,80,100,96.4,pass,accept,9.73,0,9,traces/run_20260826_113006_52100173.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E06,earnings_guidance,财报和指引有没有改变持仓判断？,一手来源补检索失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,73,40,100,59,pass,accept,9.21,0,9,traces/run_20260826_113006_6366c54e.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功
L01,regulation_legal,最近的监管和诉讼风险是否需要升级关注？,监管 + 诉讼,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,8.04,0,9,traces/run_20260826_113006_8ace7a98.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L02,regulation_legal,反垄断调查对原有 thesis 的影响要怎么复盘？,监管同义表达,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,65,73,40,100,59,pass,accept,10.05,0,6,traces/run_20260826_113006_a057bb21.jsonl,路径：涉及一手披露的问题没有补 SEC。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功
L03,regulation_legal,公司公告或 filing 中是否出现需追踪的合规事项？,filing 英文触发词,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,9.47,0,9,traces/run_20260826_113006_7f85ba55.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L04,regulation_legal,调查事件是否属于重大监管风险？,监管问题且 SEC 失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,71,35,100,59,pass,accept,8.83,0,9,traces/run_20260826_113006_7f163522.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功
C01,catalyst_competition,扫描近期增长催化和竞争压力,正面与竞争并存,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,7.1,0,6,traces/run_20260826_113006_6160704d.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C02,catalyst_competition,需求和市场份额新闻有没有改变产品增长叙事？,需求/竞争,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,6.9,0,6,traces/run_20260826_113006_35e28e14.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C03,catalyst_competition,找近期的正面催化，但不要给买卖建议,合规表达约束,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,82,60,100,92.8,pass,accept,7.27,0,6,traces/run_20260826_113006_ab874acd.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C04,catalyst_competition,竞争对手和宏观压力哪个更值得跟踪？,优先级比较,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,80,55,100,92.0,pass,accept,6.29,0,6,traces/run_20260826_113006_24d83983.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A01,ambiguous_low_context,帮我看看,极模糊指令 + 少量证据,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,78,50,100,91.2,pass,accept,6.46,0,6,traces/run_20260826_113006_f98b1540.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A02,ambiguous_low_context,这个波动要紧吗？,指代不清,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,78,50,100,91.2,pass,accept,6.63,0,6,traces/run_20260826_113006_940caa71.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A03,ambiguous_low_context,有风险吗，快一点,短指令 + 低证据量,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,75,45,100,59,pass,accept,6.36,0,6,traces/run_20260826_113006_b737422e.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A04,ambiguous_low_context,公司监管风险怎么样？,模糊监管问题 + 一手来源失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,64,20,100,59,pass,accept,9.38,0,9,traces/run_20260826_113006_58520692.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功
