sample_id,scenario,input,coverage_note,run_mode,expected_primary_source,actual_tools,route_score,quality_score,evidence_score,satisfaction_score,total_score,critic_status,predicted_user_followup,latency_ms,token_total,tool_calls,trace_path,score_reason
E05,earnings_guidance,财报发布后需要更新哪些盈利能力风险？,低新闻量,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,91,80,100,96.4,pass,accept,8.86,0,9,traces/run_20260826_123007_edde4816.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
E06,earnings_guidance,财报和指引有没有改变持仓判断？,一手来源补检索失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | finish,100,73,40,50,59,needs_more_evidence,ask_for_evidence,8.89,0,7,traces/run_20260826_123007_85431ec4.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功；Critic 未通过最终版本
L01,regulation_legal,最近的监管和诉讼风险是否需要升级关注？,监管 + 诉讼,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,9.41,0,9,traces/run_20260826_123007_bc5dfa0b.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L02,regulation_legal,反垄断调查对原有 thesis 的影响要怎么复盘？,监管同义表达,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,9.97,0,9,traces/run_20260826_123007_c8f3237e.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L03,regulation_legal,公司公告或 filing 中是否出现需追踪的合规事项？,filing 英文触发词,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | draft_memo | self_check | finish,100,96,90,100,98.4,pass,accept,9.48,0,9,traces/run_20260826_123007_50f054da.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
L04,regulation_legal,调查事件是否属于重大监管风险？,监管问题且 SEC 失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | finish,100,71,35,50,59,needs_more_evidence,ask_for_evidence,7.63,0,7,traces/run_20260826_123007_4b0d1451.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功；Critic 未通过最终版本
C01,catalyst_competition,扫描近期增长催化和竞争压力,正面与竞争并存,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,7.62,0,6,traces/run_20260826_123007_c8924055.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C02,catalyst_competition,需求和市场份额新闻有没有改变产品增长叙事？,需求/竞争,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,84,65,100,93.6,pass,accept,7.14,0,6,traces/run_20260826_123007_61aa9e99.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C03,catalyst_competition,找近期的正面催化，但不要给买卖建议,合规表达约束,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,82,60,100,92.8,pass,accept,7.16,0,6,traces/run_20260826_123007_689b278e.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
C04,catalyst_competition,竞争对手和宏观压力哪个更值得跟踪？,优先级比较,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,80,55,100,92.0,pass,accept,6.83,0,6,traces/run_20260826_123007_86a7a41b.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A01,ambiguous_low_context,帮我看看,极模糊指令 + 少量证据,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,78,50,100,91.2,pass,accept,7.12,0,6,traces/run_20260826_123007_e8674a5f.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A02,ambiguous_low_context,这个波动要紧吗？,指代不清,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,78,50,100,91.2,pass,accept,6.61,0,6,traces/run_20260826_123007_fe1c7ab9.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A03,ambiguous_low_context,有风险吗，快一点,短指令 + 低证据量,rule_fixture_baseline,False,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | finish,100,75,45,100,59,pass,accept,6.24,0,6,traces/run_20260826_123007_534f6bd2.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论
A04,ambiguous_low_context,公司监管风险怎么样？,模糊监管问题 + 一手来源失败,rule_fixture_baseline,True,analyze_goal | collect_news | analyze_sentiment | assess_risk | draft_memo | self_check | fetch_sec_filings | finish,100,64,20,50,59,needs_more_evidence,ask_for_evidence,6.96,0,7,traces/run_20260826_123007_45456019.jsonl,路径：工具路径符合该场景的最小证据需求。产物：新闻来自离线 fixture，不能作为实时研究结论；需要一手披露但检索未成功；Critic 未通过最终版本
